# window_end_us=294720048 rows=13 cols=14 peak_row=5.91785 peak_col=3.26335 peak_px_x=276.582 peak_px_y=220.267 divergence=20.1462 coherence=0.824702 tracked=129
row,col,ok,baseline_x,baseline_y,dx,dy,divergence
0,0,0,0,0,0,0,
0,1,0,0,0,0,0,
0,2,0,0,0,0,0,
0,3,0,0,0,0,0,
0,4,0,0,0,0,0,
0,5,0,0,0,0,0,
0,6,0,0,0,0,0,
0,7,0,0,0,0,0,
0,8,0,0,0,0,0,
0,9,0,0,0,0,0,
0,10,1,482.857,43.0929,6.14252,-8.09295,
0,11,0,0,0,0,0,
0,12,0,0,0,0,0,
0,13,0,0,0,0,0,
1,0,0,0,0,0,0,
1,1,1,208.808,75.5327,-6.80849,-13.5327,
1,2,0,0,0,0,0,
1,3,1,268.746,76.8728,-1.74576,-16.8728,
1,4,1,298.407,76.6731,0.593262,-17.6731,
1,5,1,328.522,75.9938,3.47836,-14.9938,
1,6,1,357.992,77.4483,6.00772,-15.4483,
1,7,1,388.185,77.0391,5.81522,-11.0391,
1,8,1,417.812,77.9233,9.18829,-10.9233,
1,9,0,0,0,0,0,
1,10,1,479.865,75.3669,8.13522,-8.3669,
1,11,0,0,0,0,0,
1,12,0,0,0,0,0,
1,13,0,0,0,0,0,
2,0,0,0,0,0,0,
2,1,1,209.548,105.198,-9.54752,-14.1976,
2,2,1,238.77,106.487,-4.76968,-17.4865,
2,3,1,268.424,106.534,-3.42361,-18.5342,2.9227
2,4,1,298.462,106.762,0.538483,-17.7622,4.7504
2,5,1,327.366,106.881,4.63446,-16.8814,4.03667
2,6,1,357.579,107.467,9.42102,-15.4666,4.45018
2,7,1,387.133,107.479,10.8672,-13.4791,0.537941
2,8,1,416.82,107.316,12.1799,-11.3163,1.0199
2,9,1,448.456,106.759,11.544,-9.75896,
2,10,1,478.377,105.525,10.623,-7.52499,
2,11,0,0,0,0,0,
2,12,0,0,0,0,0,
2,13,0,0,0,0,0,
3,0,0,0,0,0,0,
3,1,0,0,0,0,0,
3,2,1,238.972,135.601,-8.97235,-16.6009,
3,3,1,269.413,136.336,-3.41254,-16.3356,7.19246
3,4,1,298.563,136.23,2.43695,-16.2304,6.63197
3,5,1,327.158,136.803,7.84235,-15.803,6.5649
3,6,1,356.949,136.781,10.051,-12.7807,5.14164
3,7,1,386.541,137.722,12.4592,-12.7221,4.96532
3,8,1,415.551,137.56,14.4485,-9.56035,2.34435
3,9,1,446.045,137.105,12.9552,-9.10489,
3,10,0,0,0,0,0,
3,11,1,507.666,136.627,11.3342,-4.62675,
3,12,0,0,0,0,0,
3,13,0,0,0,0,0,
4,0,0,0,0,0,0,
4,1,0,0,0,0,0,
4,2,0,0,0,0,0,
4,3,1,268.841,165.559,-4.84146,-15.5586,
4,4,1,298.198,165.753,3.80182,-15.7531,11.7239
4,5,1,327.33,165.366,10.67,-11.3657,9.56875
4,6,1,356.737,165.8,13.2626,-9.80016,4.96723
4,7,1,386.647,165.946,14.3534,-7.946,4.72154
4,8,1,415.449,166.124,14.5507,-7.12354,2.74962
4,9,1,445.59,166.401,14.4099,-5.40105,1.73701
4,10,1,476.613,165.326,13.3869,-4.32559,
4,11,0,0,0,0,0,
4,12,0,0,0,0,0,
4,13,0,0,0,0,0,
5,0,0,0,0,0,0,
5,1,1,209.787,193.561,-16.7873,-6.56116,
