# window_end_us=534480048 rows=13 cols=14 peak_row=7.95269 peak_col=9.00427 peak_px_x=446.142 peak_px_y=280.525 divergence=2.53978 coherence=0.74056 tracked=141
row,col,ok,baseline_x,baseline_y,dx,dy,divergence
0,0,0,0,0,0,0,
0,1,0,0,0,0,0,
0,2,0,0,0,0,0,
0,3,1,267.875,45.2346,-0.874695,-1.23462,
0,4,0,0,0,0,0,
0,5,0,0,0,0,0,
0,6,0,0,0,0,0,
0,7,0,0,0,0,0,
0,8,0,0,0,0,0,
0,9,0,0,0,0,0,
0,10,1,482.857,43.0929,1.14252,-1.09295,
0,11,1,516.308,40.3682,-0.308105,-1.3682,
0,12,0,0,0,0,0,
0,13,0,0,0,0,0,
1,0,0,0,0,0,0,
1,1,1,208.808,75.5327,-1.80849,-1.53271,
1,2,1,238.817,75.4951,-0.816513,-2.49507,
1,3,1,268.746,76.8728,-0.745758,-3.87278,-0.444923
1,4,1,298.407,76.6731,-0.406738,-1.67314,
1,5,1,328.522,75.9938,-0.521637,-2.99379,
1,6,1,357.992,77.4483,0.00772095,-3.44831,
1,7,1,388.185,77.0391,1.81522,-3.03912,
1,8,1,417.812,77.9233,2.18829,-3.92333,
1,9,1,450.259,76.1903,1.74078,-4.19028,
1,10,1,479.865,75.3669,1.13522,-2.3669,
1,11,0,0,0,0,0,
1,12,0,0,0,0,0,
1,13,0,0,0,0,0,
2,0,0,0,0,0,0,
2,1,1,209.548,105.198,-1.54752,-0.197624,
2,2,1,238.77,106.487,-1.76968,-2.48653,1.50904
2,3,1,268.424,106.534,0.576385,-2.53424,1.4227
2,4,1,298.462,106.762,-0.461517,-2.76219,-0.249603
2,5,1,327.366,106.881,-0.36554,-2.88144,1.03667
2,6,1,357.579,107.467,0.421021,-2.46659,1.45018
2,7,1,387.133,107.479,1.86719,-3.47912,1.03794
2,8,1,416.82,107.316,2.1799,-3.31626,1.0199
2,9,1,448.456,106.759,1.54401,-2.75896,1.26426
2,10,1,478.377,105.525,3.62302,-3.52499,
2,11,0,0,0,0,0,
2,12,0,0,0,0,0,
2,13,0,0,0,0,0,
3,0,0,0,0,0,0,
3,1,1,209.496,135.393,-1.49562,-2.39326,
3,2,1,238.972,135.601,-1.97235,-1.60089,1.41556
3,3,1,269.413,136.336,-0.412537,-2.33556,0.692459
3,4,1,298.563,136.23,-0.563049,-1.23042,1.13197
3,5,1,327.158,136.803,-0.157654,-1.80298,1.0649
3,6,1,356.949,136.781,1.05103,-2.78069,0.641644
3,7,1,386.541,137.722,1.4592,-2.72212,-0.0346794
3,8,1,415.551,137.56,0.448547,-1.56035,0.844349
3,9,1,446.045,137.105,3.95517,-3.10489,1.12424
3,10,1,477.661,135.935,3.33911,-1.93497,0.7892
3,11,1,507.666,136.627,4.33417,-2.62675,
3,12,0,0,0,0,0,
3,13,0,0,0,0,0,
4,0,1,179.743,163.576,-1.74301,0.42395,
4,1,1,209.709,164.43,-1.70859,-1.43011,-0.322632
4,2,1,239.22,164.738,-2.22038,-0.738495,0.462357
4,3,1,268.841,165.559,-1.84146,-2.55862,0.64109
4,4,1,298.198,165.753,-2.19818,-0.753143,0.223892
4,5,1,327.33,165.366,-1.32996,-2.36571,2.06875
4,6,1,356.737,165.8,1.26257,-2.80016,1.96723
4,7,1,386.647,165.946,2.35342,-2.946,1.72154
